I	ensGene	transcript	335	649	.	+	.	gene_id "YAL069W"; transcript_id "YAL069W_mRNA";  gene_name "YAL069W";
I	ensGene	transcript	538	792	.	+	.	gene_id "YAL068W-A"; transcript_id "YAL068W-A_mRNA";  gene_name "YAL068W-A";
I	ensGene	transcript	1807	2169	.	-	.	gene_id "YAL068C"; transcript_id "YAL068C_mRNA";  gene_name "YAL068C";
I	ensGene	transcript	2480	2707	.	+	.	gene_id "YAL067W-A"; transcript_id "YAL067W-A_mRNA";  gene_name "YAL067W-A";
I	ensGene	transcript	7235	9016	.	-	.	gene_id "YAL067C"; transcript_id "YAL067C_mRNA";  gene_name "YAL067C";
I	ensGene	transcript	10091	10399	.	+	.	gene_id "YAL066W"; transcript_id "YAL066W_mRNA";  gene_name "YAL066W";
I	ensGene	transcript	11565	11951	.	-	.	gene_id "YAL065C"; transcript_id "YAL065C_mRNA";  gene_name "YAL065C";
I	ensGene	transcript	12046	12426	.	+	.	gene_id "YAL064W-B"; transcript_id "YAL064W-B_mRNA";  gene_name "YAL064W-B";
I	ensGene	transcript	13363	13743	.	-	.	gene_id "YAL064C-A"; transcript_id "YAL064C-A_mRNA";  gene_name "YAL064C-A";
I	ensGene	transcript	21566	21850	.	+	.	gene_id "YAL064W"; transcript_id "YAL064W_mRNA";  gene_name "YAL064W";
I	ensGene	transcript	22395	22685	.	-	.	gene_id "YAL063C-A"; transcript_id "YAL063C-A_mRNA";  gene_name "YAL063C-A";
I	ensGene	transcript	24000	27968	.	-	.	gene_id "YAL063C"; transcript_id "YAL063C_mRNA";  gene_name "YAL063C";
I	ensGene	transcript	31567	32940	.	+	.	gene_id "YAL062W"; transcript_id "YAL062W_mRNA";  gene_name "YAL062W";
I	ensGene	transcript	33448	34701	.	+	.	gene_id "YAL061W"; transcript_id "YAL061W_mRNA";  gene_name "YAL061W";
I	ensGene	transcript	35155	36303	.	+	.	gene_id "YAL060W"; transcript_id "YAL060W_mRNA";  gene_name "YAL060W";
I	ensGene	transcript	36496	36918	.	-	.	gene_id "YAL059C-A"; transcript_id "YAL059C-A_mRNA";  gene_name "YAL059C-A";
I	ensGene	transcript	36509	37147	.	+	.	gene_id "YAL059W"; transcript_id "YAL059W_mRNA";  gene_name "YAL059W";
I	ensGene	transcript	37464	38972	.	+	.	gene_id "YAL058W"; transcript_id "YAL058W_mRNA";  gene_name "YAL058W";
I	ensGene	transcript	38696	39046	.	-	.	gene_id "YAL056C-A"; transcript_id "YAL056C-A_mRNA";  gene_name "YAL056C-A";
I	ensGene	transcript	39259	41901	.	+	.	gene_id "YAL056W"; transcript_id "YAL056W_mRNA";  gene_name "YAL056W";
I	ensGene	transcript	42177	42719	.	+	.	gene_id "YAL055W"; transcript_id "YAL055W_mRNA";  gene_name "YAL055W";
I	ensGene	transcript	42881	45022	.	-	.	gene_id "YAL054C"; transcript_id "YAL054C_mRNA";  gene_name "YAL054C";
I	ensGene	transcript	45899	48250	.	+	.	gene_id "YAL053W"; transcript_id "YAL053W_mRNA";  gene_name "YAL053W";
I	ensGene	transcript	48564	51707	.	+	.	gene_id "YAL051W"; transcript_id "YAL051W_mRNA";  gene_name "YAL051W";
I	ensGene	transcript	51855	52595	.	-	.	gene_id "YAL049C"; transcript_id "YAL049C_mRNA";  gene_name "YAL049C";
I	ensGene	transcript	52801	54789	.	-	.	gene_id "YAL048C"; transcript_id "YAL048C_mRNA";  gene_name "YAL048C";
I	ensGene	transcript	54584	54913	.	+	.	gene_id "YAL047W-A"; transcript_id "YAL047W-A_mRNA";  gene_name "YAL047W-A";
I	ensGene	transcript	54989	56857	.	-	.	gene_id "YAL047C"; transcript_id "YAL047C_mRNA";  gene_name "YAL047C";
I	ensGene	transcript	57029	57385	.	-	.	gene_id "YAL046C"; transcript_id "YAL046C_mRNA";  gene_name "YAL046C";
I	ensGene	transcript	57488	57796	.	-	.	gene_id "YAL045C"; transcript_id "YAL045C_mRNA";  gene_name "YAL045C";
I	ensGene	transcript	57518	57850	.	+	.	gene_id "YAL044W-A"; transcript_id "YAL044W-A_mRNA";  gene_name "YAL044W-A";
I	ensGene	transcript	57950	58462	.	-	.	gene_id "YAL044C"; transcript_id "YAL044C_mRNA";  gene_name "YAL044C";
I	ensGene	transcript	58695	61052	.	-	.	gene_id "YAL043C"; transcript_id "YAL043C_mRNA";  gene_name "YAL043C";
I	ensGene	transcript	61231	61608	.	-	.	gene_id "YAL042C-A"; transcript_id "YAL042C-A_mRNA";  gene_name "YAL042C-A";
I	ensGene	transcript	61316	62563	.	+	.	gene_id "YAL042W"; transcript_id "YAL042W_mRNA";  gene_name "YAL042W";
I	ensGene	transcript	62840	65404	.	+	.	gene_id "YAL041W"; transcript_id "YAL041W_mRNA";  gene_name "YAL041W";
I	ensGene	transcript	65778	67520	.	-	.	gene_id "YAL040C"; transcript_id "YAL040C_mRNA";  gene_name "YAL040C";
I	ensGene	transcript	68716	69525	.	-	.	gene_id "YAL039C"; transcript_id "YAL039C_mRNA";  gene_name "YAL039C";
I	ensGene	transcript	71786	73288	.	+	.	gene_id "YAL038W"; transcript_id "YAL038W_mRNA";  gene_name "YAL038W";
I	ensGene	transcript	72326	73300	.	-	.	gene_id "YAL037C-B"; transcript_id "YAL037C-B_mRNA";  gene_name "YAL037C-B";
I	ensGene	transcript	73426	73518	.	-	.	gene_id "YAL037C-A"; transcript_id "YAL037C-A_mRNA";  gene_name "YAL037C-A";
I	ensGene	transcript	74020	74823	.	+	.	gene_id "YAL037W"; transcript_id "YAL037W_mRNA";  gene_name "YAL037W";
I	ensGene	transcript	75043	76152	.	-	.	gene_id "YAL036C"; transcript_id "YAL036C_mRNA";  gene_name "YAL036C";
I	ensGene	transcript	76427	79435	.	+	.	gene_id "YAL035W"; transcript_id "YAL035W_mRNA";  gene_name "YAL035W";
I	ensGene	transcript	79489	79842	.	-	.	gene_id "YAL034C-B"; transcript_id "YAL034C-B_mRNA";  gene_name "YAL034C-B";
I	ensGene	transcript	79718	80587	.	+	.	gene_id "YAL034W-A"; transcript_id "YAL034W-A_mRNA";  gene_name "YAL034W-A";
I	ensGene	transcript	80710	81951	.	-	.	gene_id "YAL034C"; transcript_id "YAL034C_mRNA";  gene_name "YAL034C";
I	ensGene	transcript	82706	83227	.	+	.	gene_id "YAL033W"; transcript_id "YAL033W_mRNA";  gene_name "YAL033W";
I	ensGene	transcript	83335	84474	.	-	.	gene_id "YAL032C"; transcript_id "YAL032C_mRNA";  gene_name "YAL032C";
I	ensGene	transcript	84669	84977	.	+	.	gene_id "YAL031W-A"; transcript_id "YAL031W-A_mRNA";  gene_name "YAL031W-A";
I	ensGene	transcript	84749	87031	.	-	.	gene_id "YAL031C"; transcript_id "YAL031C_mRNA";  gene_name "YAL031C";
I	ensGene	transcript	87286	87752	.	+	.	gene_id "YAL030W"; transcript_id "YAL030W_mRNA";  gene_name "YAL030W";
I	ensGene	transcript	87855	92270	.	-	.	gene_id "YAL029C"; transcript_id "YAL029C_mRNA";  gene_name "YAL029C";
I	ensGene	transcript	92900	94486	.	+	.	gene_id "YAL028W"; transcript_id "YAL028W_mRNA";  gene_name "YAL028W";
I	ensGene	transcript	94687	95472	.	+	.	gene_id "YAL027W"; transcript_id "YAL027W_mRNA";  gene_name "YAL027W";
I	ensGene	transcript	95386	95823	.	-	.	gene_id "YAL026C-A"; transcript_id "YAL026C-A_mRNA";  gene_name "YAL026C-A";
I	ensGene	transcript	95630	99697	.	-	.	gene_id "YAL026C"; transcript_id "YAL026C_mRNA";  gene_name "YAL026C";
I	ensGene	transcript	99305	99868	.	+	.	gene_id "HRA1"; transcript_id "HRA1_ncRNA";  gene_name "HRA1";
